2021-06-24 02:42:51,683 ERROR [Log] Class Utils | Method OpenBrowser | Exception desc : The driver executable does not exist: D:\SeleniumPrograms_Frameworks\MeritosAssignmentIndeed\src\main\resources\browsers\chromedriver.exe\chromedriver.exe 
2021-06-24 02:43:37,427 ERROR [Log] Class Utils | Method OpenBrowser | Exception desc : The driver executable does not exist: D:\SeleniumPrograms_Frameworks\MeritosAssignmentIndeed\src\main\resources\browsers\chromedriver.exe\chromedriver.exe 
2021-06-24 02:46:01,597 ERROR [Log] Class Utils | Method OpenBrowser | Exception desc : The driver executable does not exist: D:\SeleniumPrograms_Frameworks\MeritosAssignmentIndeed\src\main\resources\browsers\chromedriver.exe\chromedriver.exe 
2021-06-24 02:49:10,545 INFO  [Log] Implicit wait applied on the driver for 10 seconds 
2021-06-24 02:51:20,049 INFO  [Log] Implicit wait applied on the driver for 10 seconds 
2021-06-24 02:51:21,956 INFO  [Log] The element is visible : [[ChromeDriver: chrome on WINDOWS (2f438e0c4f37cd77123063c640e64462)] -> xpath: //input[@id='text-input-what' and @name = 'q']] 
2021-06-24 02:51:22,221 INFO  [Log] The element is visible : [[ChromeDriver: chrome on WINDOWS (2f438e0c4f37cd77123063c640e64462)] -> xpath: //input[@id='text-input-what' and @name = 'q']] 
2021-06-24 02:51:22,399 INFO  [Log] The element is visible : [[ChromeDriver: chrome on WINDOWS (2f438e0c4f37cd77123063c640e64462)] -> xpath: //input[@id='text-input-where']] 
2021-06-24 02:51:22,837 INFO  [Log] The element is visible : [[ChromeDriver: chrome on WINDOWS (2f438e0c4f37cd77123063c640e64462)] -> xpath: //input[@id='text-input-where']] 
2021-06-24 03:01:59,931 INFO  [Log] Implicit wait applied on the driver for 10 seconds 
2021-06-24 03:02:01,891 INFO  [Log] The element is visible : [[ChromeDriver: chrome on WINDOWS (96699db5fd558e72ec046829c42d3322)] -> xpath: //input[@id='text-input-what' and @name = 'q']] 
2021-06-24 03:02:02,182 INFO  [Log] The element is visible : [[ChromeDriver: chrome on WINDOWS (96699db5fd558e72ec046829c42d3322)] -> xpath: //input[@id='text-input-what' and @name = 'q']] 
2021-06-24 03:02:02,320 INFO  [Log] The element is visible : [[ChromeDriver: chrome on WINDOWS (96699db5fd558e72ec046829c42d3322)] -> xpath: //input[@id='text-input-where']] 
2021-06-24 03:02:02,633 INFO  [Log] The element is visible : [[ChromeDriver: chrome on WINDOWS (96699db5fd558e72ec046829c42d3322)] -> xpath: //input[@id='text-input-where']] 
